Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,33753499,34636207,35643418,36686784,37769499
"Population, total",SP.POP.TOTL,Albania,ALB,2880703,2876101,2873457,2866376,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,39543154,40339329,41136546,41927007,42705368
"Population, total",SP.POP.TOTL,American Samoa,ASM,51368,50448,49463,48424,47321
"Population, total",SP.POP.TOTL,Andorra,AND,71746,72540,73837,75013,76343
"Population, total",SP.POP.TOTL,Angola,AGO,28127721,29154746,30208628,31273533,32353588
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,89941,90564,91119,91626,92117
"Population, total",SP.POP.TOTL,Argentina,ARG,43131966,43590368,44044811,44494502,44938712
"Population, total",SP.POP.TOTL,Armenia,ARM,2878595,2865835,2851923,2836557,2820602
"Population, total",SP.POP.TOTL,Aruba,ABW,104257,104874,105439,105962,106442
"Population, total",SP.POP.TOTL,Australia,AUS,23815995,24190907,24592588,24963258,25334826
"Population, total",SP.POP.TOTL,Austria,AUT,8642699,8736668,8797566,8840521,8879920
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9649341,9757812,9854033,9939771,10024283
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,392697,395976,399020,401906,404557
"Population, total",SP.POP.TOTL,Bahrain,BHR,1362142,1409661,1456834,1487340,1494188
"Population, total",SP.POP.TOTL,Bangladesh,BGD,157830000,159784568,161793964,163683958,165516222
"Population, total",SP.POP.TOTL,Barbados,BRB,278083,278649,279187,279688,280180
"Population, total",SP.POP.TOTL,Belarus,BLR,9461076,9469379,9458989,9438785,9419758
"Population, total",SP.POP.TOTL,Belgium,BEL,11274196,11331422,11375158,11427054,11488980
"Population, total",SP.POP.TOTL,Belize,BLZ,359871,367313,374693,382066,389095
"Population, total",SP.POP.TOTL,Benin,BEN,10932783,11260085,11596779,11940683,12290444
"Population, total",SP.POP.TOTL,Bermuda,BMU,65237,64554,63873,63918,63911
"Population, total",SP.POP.TOTL,Bhutan,BTN,743274,749761,756121,762096,767459
"Population, total",SP.POP.TOTL,Bolivia,BOL,11090085,11263015,11435533,11606905,11777315
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3524324,3480986,3440027,3400129,3360711
"Population, total",SP.POP.TOTL,Botswana,BWA,2305171,2352416,2401840,2451409,2499702
"Population, total",SP.POP.TOTL,Brazil,BRA,205188205,206859578,208504960,210166592,211782878
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,29366,29739,30060,30335,30610
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,421437,425994,430276,434274,438048
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7177991,7127822,7075947,7025037,6975761
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,18718019,19275498,19835858,20392723,20951639
"Population, total",SP.POP.TOTL,Burundi,BDI,10727148,10903327,11155593,11493472,11874838
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,552166,558394,564954,571202,577030
"Population, total",SP.POP.TOTL,Cambodia,KHM,15417523,15624584,15830689,16025238,16207746
"Population, total",SP.POP.TOTL,Cameroon,CMR,23012646,23711630,24393181,25076747,25782341
"Population, total",SP.POP.TOTL,Canada,CAN,35702908,36109487,36545236,37065084,37601230
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,60911,62255,63581,64884,66134
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4819333,4904177,4996741,5094780,5209324
"Population, total",SP.POP.TOTL,Chad,TCD,14140274,14592585,15085884,15604210,16126866
"Population, total",SP.POP.TOTL,Channel Islands,CHI,162190,163721,165215,167259,169410
"Population, total",SP.POP.TOTL,Chile,CHL,17870124,18083879,18368577,18701450,19039485
"Population, total",SP.POP.TOTL,China,CHN,1379860000,1387790000,1396215000,1402760000,1407745000
"Population, total",SP.POP.TOTL,Colombia,COL,47119728,47625955,48351671,49276961,50187406
"Population, total",SP.POP.TOTL,Comoros,COM,730216,746232,761664,776313,790986
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,78656904,81430977,84283273,87087355,89906890
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5064386,5186824,5312340,5441062,5570733
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4895242,4945205,4993842,5040734,5084532
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,23596741,24213622,24848016,25493988,26147551
"Population, total",SP.POP.TOTL,Croatia,HRV,4203604,4174349,4124531,4087843,4065253
"Population, total",SP.POP.TOTL,Cuba,CUB,11339894,11342012,11336405,11328244,11316697
"Population, total",SP.POP.TOTL,Curacao,CUW,157980,159664,160175,159336,157441
"Population, total",SP.POP.TOTL,Cyprus,CYP,1187280,1197881,1208523,1218831,1228836
"Population, total",SP.POP.TOTL,Czechia,CZE,10546059,10566332,10594438,10629928,10671870
"Population, total",SP.POP.TOTL,Denmark,DNK,5683483,5728010,5764980,5793636,5814422
"Population, total",SP.POP.TOTL,Djibouti,DJI,1006259,1023261,1040233,1057198,1073994
"Population, total",SP.POP.TOTL,Dominica,DMA,70007,70075,70403,70823,71428
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10405832,10527592,10647244,10765531,10881882
"Population, total",SP.POP.TOTL,Ecuador,ECU,16195902,16439585,16696944,17015672,17343740
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,97723799,99784030,101789386,103740765,105618671
"Population, total",SP.POP.TOTL,El Salvador,SLV,6231066,6250510,6266654,6276342,6280217
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1346973,1398927,1450694,1502091,1553031
"Population, total",SP.POP.TOTL,Eritrea,ERI,3340006,3365287,3396933,3445374,3498818
"Population, total",SP.POP.TOTL,Estonia,EST,1315407,1315790,1317384,1321977,1326898
"Population, total",SP.POP.TOTL,Ethiopia,ETH,102471895,105293228,108197950,111129438,114120594
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48816,49500,50230,50955,51681
"Population, total",SP.POP.TOTL,Fiji,FJI,917200,918371,919019,918996,918465
"Population, total",SP.POP.TOTL,Finland,FIN,5479531,5495303,5508214,5515525,5521606
"Population, total",SP.POP.TOTL,France,FRA,66548272,66724104,66918020,67158348,67388001
"Population, total",SP.POP.TOTL,French Polynesia,PYF,291787,293541,295450,297606,299717
"Population, total",SP.POP.TOTL,Gabon,GAB,2028517,2086206,2140215,2192012,2242785
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2253133,2317206,2381182,2444916,2508883
"Population, total",SP.POP.TOTL,Georgia,GEO,3725276,3727505,3728004,3726549,3720161
"Population, total",SP.POP.TOTL,Germany,DEU,81686611,82348669,82657002,82905782,83092962
"Population, total",SP.POP.TOTL,Ghana,GHA,28870939,29554303,30222262,30870641,31522290
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32520,32565,32602,32648,32685
"Population, total",SP.POP.TOTL,Greece,GRC,10820883,10775971,10754679,10732882,10721582
"Population, total",SP.POP.TOTL,Greenland,GRL,56114,56186,56172,56023,56225
"Population, total",SP.POP.TOTL,Grenada,GRD,118980,119966,120921,121838,122724
"Population, total",SP.POP.TOTL,Guam,GUM,167978,168346,168606,168678,168624
"Population, total",SP.POP.TOTL,Guatemala,GTM,15567419,15827690,16087418,16346950,16604026
"Population, total",SP.POP.TOTL,Guinea,GIN,11625998,11930985,12240789,12554864,12877539
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1788919,1834552,1879826,1924955,1970457
"Population, total",SP.POP.TOTL,Guyana,GUY,755031,759087,763252,785514,798753
"Population, total",SP.POP.TOTL,Haiti,HTI,10563757,10713849,10863543,11012421,11160438
"Population, total",SP.POP.TOTL,Honduras,HND,9294505,9460798,9626842,9792850,9958829
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7291300,7336600,7393200,7452600,7507900
"Population, total",SP.POP.TOTL,Hungary,HUN,9843028,9814023,9787966,9775564,9771141
"Population, total",SP.POP.TOTL,Iceland,ISL,330815,335439,343400,352721,360563
"Population, total",SP.POP.TOTL,India,IND,1322866505,1338636340,1354195680,1369003306,1383112050
"Population, total",SP.POP.TOTL,Indonesia,IDN,259091970,261850182,264498852,267066843,269582878
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,81790841,83306231,84505076,85617562,86564202
"Population, total",SP.POP.TOTL,Iraq,IRQ,37757813,38697943,39621162,40590700,41563520
"Population, total",SP.POP.TOTL,Ireland,IRL,4701957,4755335,4807388,4867316,4934340
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83593,83450,83580,83775,83933
"Population, total",SP.POP.TOTL,Israel,ISR,8380100,8546000,8713300,8882800,9054000
"Population, total",SP.POP.TOTL,Italy,ITA,60730582,60627498,60536709,60421760,59729081
"Population, total",SP.POP.TOTL,Jamaica,JAM,2794445,2802695,2808376,2811835,2813773
"Population, total",SP.POP.TOTL,Japan,JPN,127141000,127076000,126972000,126811000,126633000
"Population, total",SP.POP.TOTL,Jordan,JOR,9494246,9964656,10215381,10459865,10698683
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,17542806,17794055,18037776,18276452,18513673
"Population, total",SP.POP.TOTL,Kenya,KEN,46851488,47894670,48948137,49953304,50951450
"Population, total",SP.POP.TOTL,Kiribati,KIR,116707,118513,120362,122261,124241
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25258015,25389611,25516321,25638149,25755441
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51014947,51217803,51361911,51585058,51764822
"Population, total",SP.POP.TOTL,Kosovo,XKX,1788196,1777557,1791003,1797085,1788878
"Population, total",SP.POP.TOTL,Kuwait,KWT,3908743,4048085,4124904,4317185,4441100
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5956900,6079500,6198200,6322800,6456200
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6787419,6891363,6997917,7105006,7212053
"Population, total",SP.POP.TOTL,Latvia,LVA,1977527,1959537,1942248,1927174,1913822
"Population, total",SP.POP.TOTL,Lebanon,LBN,6398940,6258619,6109252,5950839,5781907
"Population, total",SP.POP.TOTL,Lesotho,LSO,2118521,2143872,2170617,2198017,2225702
"Population, total",SP.POP.TOTL,Liberia,LBR,4612329,4706097,4796631,4889391,4985289
"Population, total",SP.POP.TOTL,Libya,LBY,6192235,6282196,6378261,6477793,6569088
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37355,37609,37889,38181,38482
"Population, total",SP.POP.TOTL,Lithuania,LTU,2904910,2868231,2828403,2801543,2794137
"Population, total",SP.POP.TOTL,Luxembourg,LUX,569604,582014,596336,607950,620001
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,615239,626688,638609,650991,663653
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2070226,2072490,2074502,2076217,2076694
"Population, total",SP.POP.TOTL,Madagascar,MDG,24850912,25501941,26169542,26846541,27533134
"Population, total",SP.POP.TOTL,Malawi,MWI,16938942,17405624,17881167,18367883,18867337
"Population, total",SP.POP.TOTL,Malaysia,MYS,31068833,31526418,31975806,32399271,32804020
"Population, total",SP.POP.TOTL,Maldives,MDV,435582,454252,472442,489758,504508
"Population, total",SP.POP.TOTL,Mali,MLI,18112907,18700106,19311355,19934298,20567424
"Population, total",SP.POP.TOTL,Malta,MLT,445053,455356,467999,484630,504062
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,49410,48329,47187,45989,44728
"Population, total",SP.POP.TOTL,Mauritania,MRT,3946220,4051890,4160015,4270712,4383849
"Population, total",SP.POP.TOTL,Mauritius,MUS,1262879,1263747,1264887,1265577,1265985
"Population, total",SP.POP.TOTL,Mexico,MEX,120149897,121519221,122839258,124013861,125085311
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,109462,109925,110430,110929,111379
"Population, total",SP.POP.TOTL,Moldova,MDA,2835978,2803186,2755189,2707203,2664224
"Population, total",SP.POP.TOTL,Monaco,MCO,36760,37071,37044,37029,37034
"Population, total",SP.POP.TOTL,Mongolia,MNG,2964749,3029555,3096030,3163991,3232430
"Population, total",SP.POP.TOTL,Montenegro,MNE,622159,622303,622373,622227,622028
"Population, total",SP.POP.TOTL,Morocco,MAR,34680458,35107264,35528115,35927511,36304408
"Population, total",SP.POP.TOTL,Mozambique,MOZ,26843246,27696493,28569441,29423878,30285595
"Population, total",SP.POP.TOTL,Myanmar,MMR,51483949,51892349,52288341,52666014,53040212
"Population, total",SP.POP.TOTL,Namibia,NAM,2282704,2323352,2364534,2405680,2446644
"Population, total",SP.POP.TOTL,Nauru,NRU,11185,11437,11682,11924,12132
"Population, total",SP.POP.TOTL,Nepal,NPL,27610325,27861186,28183426,28506712,28832496
"Population, total",SP.POP.TOTL,Netherlands,NLD,16939923,17030314,17131296,17231624,17344874
"Population, total",SP.POP.TOTL,New Caledonia,NCL,269460,270220,270810,271170,271240
"Population, total",SP.POP.TOTL,New Zealand,NZL,4609400,4714100,4813600,4900600,4979200
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6298598,6389235,6480532,6572233,6663924
"Population, total",SP.POP.TOTL,Niger,NER,20128124,20921743,21737922,22577058,23443393
"Population, total",SP.POP.TOTL,Nigeria,NGA,183995785,188666931,193495907,198387623,203304492
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,51514,51133,50729,50304,49858
"Population, total",SP.POP.TOTL,Norway,NOR,5188607,5234519,5276968,5311916,5347896
"Population, total",SP.POP.TOTL,Oman,OMN,4191776,4398070,4541854,4601157,4602768
"Population, total",SP.POP.TOTL,Pakistan,PAK,210969298,213524840,216379655,219731479,223293280
"Population, total",SP.POP.TOTL,Palau,PLW,17794,17816,17837,17864,17916
"Population, total",SP.POP.TOTL,Panama,PAN,3957099,4026336,4096063,4165255,4232532
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8682174,8899169,9114796,9329227,9542486
"Population, total",SP.POP.TOTL,Paraguay,PRY,6177950,6266615,6355404,6443328,6530026
"Population, total",SP.POP.TOTL,Peru,PER,30711863,31132779,31605486,32203944,32824861
"Population, total",SP.POP.TOTL,Philippines,PHL,103031365,104875266,106738501,108568836,110380804
"Population, total",SP.POP.TOTL,Poland,POL,37986412,37970087,37974826,37974750,37965475
"Population, total",SP.POP.TOTL,Portugal,PRT,10358076,10325452,10300300,10283822,10286263
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3473232,3406672,3325286,3193354,3193694
"Population, total",SP.POP.TOTL,Qatar,QAT,2414573,2595166,2711755,2766732,2807235
"Population, total",SP.POP.TOTL,Romania,ROU,19815616,19702267,19588715,19473970,19371648
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144096870,144342397,144496739,144477859,144406261
"Population, total",SP.POP.TOTL,Rwanda,RWA,11642959,11930899,12230339,12531808,12835028
"Population, total",SP.POP.TOTL,Samoa,WSM,203571,205544,207630,209701,211905
"Population, total",SP.POP.TOTL,San Marino,SMR,33570,33834,34056,34156,34178
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,201124,204632,208036,211344,214599
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,32749848,33416270,34193122,35018133,35827362
"Population, total",SP.POP.TOTL,Senegal,SEN,14356181,14751356,15157793,15574909,16000781
"Population, total",SP.POP.TOTL,Serbia,SRB,7095383,7058322,7020858,6982604,6945235
"Population, total",SP.POP.TOTL,Seychelles,SYC,93419,94677,95843,96762,97625
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7314773,7493913,7677565,7861281,8046828
"Population, total",SP.POP.TOTL,Singapore,SGP,5535002,5607283,5612253,5638676,5703569
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,38825,39969,40574,40895,41608
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5423801,5430798,5439232,5446771,5454147
"Population, total",SP.POP.TOTL,Slovenia,SVN,2063531,2065042,2066388,2073894,2088385
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,612660,628102,643634,659249,674993
"Population, total",SP.POP.TOTL,Somalia,SOM,13763906,14292847,14864221,15411094,15981300
"Population, total",SP.POP.TOTL,South Africa,ZAF,55876504,56422274,56641209,57339635,58087055
"Population, total",SP.POP.TOTL,South Sudan,SSD,11194299,11066105,10658226,10395329,10447666
"Population, total",SP.POP.TOTL,Spain,ESP,46444832,46484062,46593236,46797754,47134837
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21336697,21425494,21506813,21670000,21803000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47790,47788,47785,47761,47712
"Population, total",SP.POP.TOTL,St. Lucia,LCA,175623,176413,177163,177888,178583
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,35020,34811,34496,33852,33121
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,106482,105963,105549,105281,104924
"Population, total",SP.POP.TOTL,Sudan,SDN,38171178,39377169,40679828,41999059,43232093
"Population, total",SP.POP.TOTL,Suriname,SUR,575475,581453,587559,593715,600301
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1133936,1142524,1151390,1160428,1169613
"Population, total",SP.POP.TOTL,Sweden,SWE,9799186,9923085,10057698,10175214,10278887
"Population, total",SP.POP.TOTL,Switzerland,CHE,8282396,8373338,8451840,8514329,8575280
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,19205178,18964252,18983373,19333463,20098251
"Population, total",SP.POP.TOTL,Tajikistan,TJK,8524063,8725318,8925525,9128132,9337003
"Population, total",SP.POP.TOTL,Tanzania,TZA,52542823,54401802,56267032,58090443,59872579
"Population, total",SP.POP.TOTL,Thailand,THA,70294397,70607037,70898202,71127802,71307763
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1205813,1224562,1243235,1261845,1280438
"Population, total",SP.POP.TOTL,Togo,TGO,7473229,7661354,7852795,8046679,8243094
"Population, total",SP.POP.TOTL,Tonga,TON,106122,105707,105415,105150,104951
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1460177,1469330,1478607,1504709,1519955
"Population, total",SP.POP.TOTL,Tunisia,TUN,11557779,11685667,11811443,11933041,12049314
"Population, total",SP.POP.TOTL,Turkiye,TUR,78218479,79277962,80312698,81407204,82579440
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5766431,5868561,5968383,6065066,6158420
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,36538,38246,39844,41487,43080
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10877,10852,10828,10865,10956
"Population, total",SP.POP.TOTL,Uganda,UGA,37477356,38748299,40127085,41515395,42949080
"Population, total",SP.POP.TOTL,Ukraine,UKR,45154036,45004673,44831135,44622518,44386203
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,8916899,8994263,9068296,9140169,9211657
"Population, total",SP.POP.TOTL,United Kingdom,GBR,65116219,65611593,66058859,66460344,66836327
"Population, total",SP.POP.TOTL,United States,USA,320738994,323071755,325122128,326838199,328329953
"Population, total",SP.POP.TOTL,Uruguay,URY,3402818,3413766,3422200,3427042,3428409
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,31298900,31847900,32388600,32956100,33580350
"Population, total",SP.POP.TOTL,Vanuatu,VUT,276438,283218,290239,297298,304404
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,30529716,30741464,30563433,29825653,28971683
"Population, total",SP.POP.TOTL,Viet Nam,VNM,92191398,93126529,94033048,94914330,95776716
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,107712,107516,107281,107001,106669
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4270092,4367088,4454805,4569087,4685306
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,28516545,29274002,30034389,30790513,31546691
"Population, total",SP.POP.TOTL,Zambia,ZMB,16248230,16767761,17298054,17835893,18380477
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14154937,14452704,14751101,15052184,15354608
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,3.12134122890873,2.58154939895659,2.86649214750073,2.88520797304849,2.90852909268743
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.291205786840436,-0.159880412127734,-0.0919722937442495,-0.246732042281782,-0.426007367032238
Population growth (annual %),SP.POP.GROW,Algeria,DZA,1.99994605069585,1.99343168879913,1.95700247075081,1.9033254281097,1.83944488568624
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-1.63927018758043,-1.80723076890422,-1.97181874740715,-2.12293567392473,-2.30413869890523
Population growth (annual %),SP.POP.GROW,Andorra,AND,0.174377690367456,1.10060298979862,1.77218271287863,1.58014708656145,1.75749125736997
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.61767751762095,3.58621100683242,3.5509866361995,3.46445698360985,3.39527779197097
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.786935419380774,0.690288328652049,0.6109561448905,0.554872965946274,0.534443400511753
Population growth (annual %),SP.POP.GROW,Argentina,ARG,1.07800134449604,1.05718157762752,1.03713389686514,1.01580834908002,0.993397493293046
Population growth (annual %),SP.POP.GROW,Armenia,ARM,-0.392995248824912,-0.444257166904663,-0.486625263030829,-0.54025108197947,-0.564065542556681
Population growth (annual %),SP.POP.GROW,Aruba,ABW,0.63795916173479,0.590062487333077,0.537295706145068,0.494795263046989,0.451969658863314
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.43921665259925,1.56194049810399,1.64682779735017,1.49599671041328,1.47749071058438
Population growth (annual %),SP.POP.GROW,Austria,AUT,1.12099250236958,1.08139629872802,0.694621103604983,0.487071924768999,0.444673639004876
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,1.19120985807018,1.11785721013911,0.98126180450475,0.866316916370841,0.846646726414021
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,0.912227428271637,0.831528122187361,0.765793758966215,0.720668948364001,0.657441084996389
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,3.81660491261165,3.42907892150581,3.29163380324261,2.07237016433842,0.459362584678761
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.19106112723824,1.23079535447054,1.24972406577957,1.16137846270492,1.1131724900167
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.212392263810218,0.203329499651748,0.192888292188534,0.179288797746607,0.175755759089405
Population growth (annual %),SP.POP.GROW,Belarus,BLR,0.132853236725342,0.0877210878706449,-0.109782322950581,-0.213824206997671,-0.201786600970723
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.579446241677791,0.506300002451376,0.385228018372369,0.455184695275022,0.540461327098122
Population growth (annual %),SP.POP.GROW,Belize,BLZ,2.11632063401839,2.04687117105776,1.9892678402512,1.94863445386443,1.82301611890652
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.95124912266827,2.94982814392549,2.94632156118807,2.92239218681089,2.88707408493347
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,0.151869636092964,-1.05247097968271,-1.0605345960762,0.0704274978050419,-0.0109521313739413
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,0.934969649654716,0.868973710626164,0.844692720380736,0.787111572078005,0.701252583573764
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.5731449401483,1.54728829634713,1.52010888105833,1.48747419672442,1.45750439141779
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-1.31760658922995,-1.23730578353764,-1.18362667966933,-1.16659481128762,-1.16608133465016
Population growth (annual %),SP.POP.GROW,Botswana,BWA,1.96236891205249,2.02880248969911,2.07922251369081,2.04278510078483,1.95085634796209
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.845992601345206,0.8112564782781,0.79226340042227,0.793768153848091,0.766107802084815
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,1.35422128878554,1.26217731781244,1.07360686059582,0.910677706943281,0.902459156305993
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,1.14093587780034,1.07549615845856,1.00016015852588,0.924880804854795,0.865282211615446
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-0.638069468160719,-0.701382097841331,-0.730443175298289,-0.722080405222853,-0.703905641117455
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.97234560821631,2.93481128912484,2.86565542084027,2.76868116258088,2.70387556725288
Population growth (annual %),SP.POP.GROW,Burundi,BDI,2.18870609045616,1.62902475388378,2.28730144695888,2.98382355303175,3.26424857025887
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,1.1090565508692,1.12160806985756,1.16795054980192,1.09986005170242,1.01513458042928
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,1.34979002036239,1.33408515743887,1.3104826630319,1.22144565921597,1.13244216195679
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,3.14758224896897,2.99217541611777,2.83379809494988,2.7637376380325,2.7748797807221
Population growth (annual %),SP.POP.GROW,Canada,CAN,0.746339477969813,1.13234865466606,1.19952071057872,1.41245586917998,1.43613682316886
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,2.24463644959813,2.18250710253431,2.10758301710141,2.02863766124782,1.90819265891466
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,0.428340361843656,1.74517542237586,1.86986089522388,1.94305862344608,2.22336107125156
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.18410081276683,3.14864850561675,3.32459491646661,3.37812774879537,3.29458272753979
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,0.791085579747361,0.939527209520039,0.908389640157369,1.22958532233632,1.27783031331199
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.02942555374852,1.18906102612278,1.56205545588869,1.79596279901203,1.7913919716665
Population growth (annual %),SP.POP.GROW,China,CHN,0.581456146657648,0.573050906069647,0.605245013482969,0.467672053461959,0.354740890170827
Population growth (annual %),SP.POP.GROW,Colombia,COL,0.941994067106625,1.068611890834,1.51228960592288,1.89558675057496,1.83074694246543
Population growth (annual %),SP.POP.GROW,Comoros,COM,2.16006427268952,2.1696163026429,2.04689697470843,1.90502758147562,1.87244791212477
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.38939131180859,3.46603464808537,3.44276695760094,3.27282723445499,3.18628838899818
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.38840507871515,2.38886575467523,2.3910852337636,2.39418462530963,2.355238072353
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,1.04634340433544,1.01547072688832,0.978713315995535,0.934615300864476,0.865128346659953
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2.58076728931826,2.58067580845527,2.58625429610958,2.56647493405036,2.53128744560298
Population growth (annual %),SP.POP.GROW,Croatia,HRV,-0.824099163913538,-0.69838345731273,-1.20061016480925,-0.893486927711056,-0.554146739042888
Population growth (annual %),SP.POP.GROW,Cuba,CUB,0.069407446002465,0.0186756792498581,-0.0494478967755684,-0.0720152370566522,-0.101983052203958
Population growth (annual %),SP.POP.GROW,Curacao,CUW,1.31959390251523,1.06031644056836,0.319536038312865,-0.525178744011738,-1.19643951751799
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,0.870039642466962,0.888918593369278,0.884479029885329,0.849324982193926,0.817517719721429
Population growth (annual %),SP.POP.GROW,Czechia,CZE,0.196588748472653,0.192048415842684,0.265642663548985,0.334427262299794,0.393788864202175
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.706423849687002,0.780392644135167,0.643350903737356,0.495838925879129,0.358130915892652
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,1.72124773942831,1.67550925836571,1.64501401282776,1.61772854346232,1.57623975223144
